NAME,GAME,TYPE,CHAPTER,LOCATION,DESCRIPTION,URL
Steam,2,4,5,Aqua Rock,Steam can be found after obtaining the Parch psynergy inside of Aqua Rock.,goldensun/mercury_djinni.png
Coal,2,2,5,Izumo,Coal can be found after completing Gaia Rock by handing the Dancing Idol to Uzume.,goldensun/mars_djinni.png
Ulysses,2,5,5,Izumo,Ulysses can be found by using Reveal to enter an underground tunnel and using the Sand psynergy.,thelostage/ulysses.png
Haze,2,3,5,Apojii Islands,Haze can be found by using Sand to descend to the lower cliffs of the falls.,goldensun/jupiter_djinni.png
Wheeze,2,3,5,World Map (south of Tundaria Tower),Wheeze can be found in a small area of land to the south of Tundaria Tower.,goldensun/jupiter_djinni.png
Reflux,2,2,5,Tundaria Tower,Reflux can be found after solving an ice puzzle.,goldensun/mars_djinni.png
Meld,2,1,5,Islet Cave,Meld can be found after gaining access to the Islet Cave from the Sea of Time Islet and completing a log puzzle. Reaching Islet Cave requires completing a fetch quest involving the miscellaneous islands in the Great Eastern Sea.,goldensun/venus_djinni.png
Eclipse,2,5,5,Lemuria,Eclipse can be found by scoring the center of the Lemuria Spring Lucky Medal minigame.,thelostage/eclipse.png
Rime,2,4,5,Lemuria,Rime can be found by using Grind to reach a new part of Lemuria after exiting the first time.,goldensun/mercury_djinni.png
Core,2,2,6,World Map (west of Contigo),"Core can be found to the west of Contigo, reachable from the western shores of Hesperia.",goldensun/mars_djinni.png
Petra,2,1,6,World Map (northeast of Shaman Village),"Petra can be found in a forest to the northeast of Shaman Village, reachable from the northern shores of Atteka.",goldensun/venus_djinni.png
Tinder,2,2,6,Hesperia Settlement,Tinder can be found after completing a box puzzle.,goldensun/mars_djinni.png
Gel,2,4,6,Kalt Island,Gel can be found after completing an ice puzzle.,goldensun/mercury_djinni.png
Aroma,2,3,6,Shaman Village,Aroma can be found after completing Trial Road and climbing through one of the houses.,goldensun/jupiter_djinni.png
Salt,2,1,6,Contigo,Salt can be found by using Scoop in the center of a bunch of leaves.,goldensun/venus_djinni.png
Whorl,2,3,6,Jupiter Lighthouse,Whorl can be found by solving a Hover puzzle.,goldensun/jupiter_djinni.png
Isaac's Djinn,2,6,7,Contigo,"All of the Djinn from the first game, depending on data transfer, can be obtained after Isaac's party joins Felix's party.",goldensun/venus_djinni.png
Shine,2,2,7,Contigo,Shine can be found by using Force on a stump (requires data transfer).,goldensun/mars_djinni.png
Geode,2,1,7,Atteka Inlet,Geode can be found by using the Lift psynergy on a rock.,goldensun/venus_djinni.png
Coatlicue,2,5,7,Atteka Cavern,Coatlicue can be found after obtaining the Wings of Anemos and flying to the southern end of Atteka.,thelostage/coatlicue.png
Jupiter Djinni,2,3,7,SW Atteka Islet,"A random, non-obtained Jupiter Djinni will appear behind a Lift puzzle.",goldensun/jupiter_djinni.png
Eddy,2,4,7,Shaman Village Cave,Eddy can be found by solving the Lift puzzle.,goldensun/mercury_djinni.png
Gasp,2,3,7,Trial Road,Gasp cam be found after obtaining the Hover and Lift psynergy.,goldensun/jupiter_djinni.png
Haures,2,5,7,Angara Cavern,"Haures can be found in a cavern in western Angara, north of Loho, after obtaining the Carry psynergy.",thelostage/haures.png
Mars Djinni,2,2,7,Magma Rock,"A random, non-obtained Mars Djinni will appear near one of the lava gates.",goldensun/mars_djinni.png
Fury,2,2,7,Magma Rock,Fury can be found after lowering the lava level.,goldensun/mars_djinni.png
Lull,2,3,7,Loho,Lull can be found after blowing up a wall using the Magma Ball from Magma Rock.,goldensun/jupiter_djinni.png
Mold,2,1,7,Prox,Mold can be found by using Scoop on a pile of snow on the ice.,goldensun/venus_djinni.png
Mercury Djinni,2,4,7,Prox,"A random, non-obtained Mercury Djinni will appear in an empty house.",goldensun/mercury_djinni.png
Balm,2,4,7,Mars Lighthouse,Balm can be found by solving an ice puzzle.,goldensun/mercury_djinni.png
Fugue,2,2,7,Mars Lighthouse,Fugue can be found after heating the ice in Mars Lighthouse.,goldensun/mars_djinni.png
Venus Djinni,2,1,7,Treasure Isle,"A random, non-obtained Venus Djinni will appear after Isaac's group joins.",goldensun/venus_djinni.png
Gale,2,3,7,Treasure Isle,Gale can be found by solving a Lift puzzle.,goldensun/jupiter_djinni.png
Azul,2,5,7,Treasure Isle,Azul can be found after defeating the Star Magician.,thelostage/azul.png
Crystal,2,1,7,Yampi Desert Cave,Crystal can be found after obtaining the Teleport psynergy and solving a Pound puzzle.,goldensun/venus_djinni.png
Daedalus,2,5,7,Yampi Desert Cave,Daedalus can be found after defeating Valukar.,thelostage/daedalus.png
Serac,2,4,7,Islet Cave,Serac can be found after obtaining the Teleport psynergy and interacting with a statue.,goldensun/mercury_djinni.png
Catastrophe,2,5,7,Islet Cave,Catastrophe can be found after defeating the Sentinel.,thelostage/catastrophe.png
Charon,2,5,7,Anemos Inner Sanctum,Charon can be found after obtaining the Teleport psynergy and gathering all 72 djinni.,thelostage/charon.png
Iris,2,5,7,Anemos Inner Sanctum,Iris can be found after defeating Dullahan.,thelostage/iris.png
Flint,3,1,1,World Map (outside Lookout Cabin),Flint will join automatically.,darkdawn/flint.png
Forge,3,2,1,Patcher's Place,Forge can be found by solving a Growth puzzle.,darkdawn/forge.png
Gust,3,3,1,Goma Highlands Road,Gust can be obtained after entering the dungeon from a secret passage in Carver's Camp.,darkdawn/gust.png
Chill,3,4,1,Carver's Camp,Chill can be found by climbing down into the canyon.,darkdawn/chill.png
Zagan,3,5,1,Carver's Lumberyard,Zagan can be found after solving a Whirlwind puzzle after entering from the eastern side of the dungeon.,darkdawn/zagan.png
Fever,3,2,1,World Map (south of Carver's Camp),Fever can be found while traveling south from Carver's Camp to the Konpa Gate.,darkdawn/fever.png
Flower,3,1,1,Konpa Gate,Flower can be found after using Whirlwind on a field of flowers.,darkdawn/flower.png
Jolt,3,3,1,Konpa Ruins,Jolt can be found at the top of the dungeon after obtaining the Grip psynergy.,darkdawn/jolt.png
Sleet,3,4,2,Konpa Ruins,Sleet will join with Rief.,darkdawn/sleet.png
Megaera,3,5,2,Konpa Shrine,Megaera can be found after solving a Douse puzzle in a cavern outside the Konpa Ruins.,darkdawn/megaera.png
Cinder,3,2,2,Harapa,Cinder can be found by climbing the walls of the city through a building.,darkdawn/cinder.png
Bark,3,1,2,Passaj Mountain Climb,Bark can be found after traversing through most of the interior of the dungeon behind a whirlwind spout.,darkdawn/bark.png
Ether,3,3,2,World Map (west of Kaocho),Ether can be found in the forest to the west of Kaocho.,darkdawn/ether.png
Steel,3,1,2,Kaocho,Steel can be found by using Grip to traverse to the western side of the town's northwestern stream and jumping over lilypads.,darkdawn/steel.png
Breath,3,3,2,Ayuthay,Breath can be found after obtaining the Arid Heat psynergy and using the lilypad to reach it.,darkdawn/breath.png
Surge,3,4,2,Barai Temple,Surge can be found by solving a Arid Heat puzzle.,darkdawn/surge.png
Mist,3,4,2,Ayuthay,Mist will join with Amiti.,darkdawn/mist.png
Mellow,3,4,2,Ayuthay,Mellow will join with Amiti.,darkdawn/mellow.png
Claw,3,4,2,Ayuthay,Claw will join with Amiti.,darkdawn/claw.png
Lava,3,2,2,Kaocho,Lava can be found after giving a man a Kaocho Dumpling.,darkdawn/lava.png
Vortex,3,3,2,Ouroboros,Vortex can be found after solving a Zol cube puzzle.,darkdawn/vortex.png
Brand,3,2,2,Passaj Mountain Climb,"Brand can be found after using the Sol Mask in the Alchemy Forge, climbing the town's new walls, and jumping down a cliff.",darkdawn/brand.png
Serac,3,4,2,Harapa Ruins,Serac can be found by solving an ice puzzle and dropping down to a lower floor.,darkdawn/serac.png
Brick,3,1,2,Harapa,"Brick can be found after obtaining the Cold Snap psynergy, climbing the walls of town, and entering a building from its roof.",darkdawn/brick.png
Flora,3,5,2,Passaj Mountain Climb,"Flora can be found after obtaining the Cold Snap psynergy, dropping down some cliffs from the top of the dungeon, and solving a Zol cube puzzle.",darkdawn/flora.png
Doldrum,3,3,3,Craggy Peak Ruins,Doldrum can be found by solving a Grip and Fireball puzzle.,darkdawn/doldrum.png
Fury,3,2,3,Te Rya Village,Fury can be found by solving a Fireball puzzle.,darkdawn/fury.png
Moloch,3,5,3,North Wall Shrine,Moloch can be found in a cavern in the mountains after solving a Fireball and Cold Snap puzzle.,darkdawn/moloch.png
Dewdrop,3,4,3,Teppe Ruins,Dewdrop can be found after solving the fisherman's woes.,darkdawn/dewdrop.png
Vine,3,1,3,Teppe Ruins,Vine can be found hidden and running around a field of grass.,darkdawn/vine.png
Torrent,3,4,4,Belinsk,Torrent can be found at the docks after solving a box puzzle.,darkdawn/torrent.png
Spout,3,4,4,Belinsk Ruins,Spout can be found behind an entrance to the ruins behind a set of bookshelves in Belinsk.,darkdawn/spout.png
Gears,3,1,4,World Map (north of Border Town),Gears can be found to the north of Border Town.,darkdawn/gears.png
Ulysses,3,5,4,Border Town Mines,"Ulysses can be found to the west of Border Town, reached by walking all the way north and around, after solving a minecart puzzle.",darkdawn/ulysses.png
Sirocco,3,3,4,Border Town,Sirocco can be found after solving a Grip puzzle.,darkdawn/sirocco.png
Furrow,3,1,4,World Map (west of Port Rago),Furrow can be found on an island to the west of Port Rago.,darkdawn/furrow.png
Coral,3,4,4,Port Rago Canal,Coral can be found after solving an Arid Heat puzzle.,darkdawn/coral.png
Garland,3,1,4,Kolima Village,Garland can be found hidden among the upper tree branches of town.,darkdawn/garland.png
Glare,3,2,4,Phantasmal Bog,Glare can be found after solving a log puzzle.,darkdawn/glare.png
Wisp,3,3,4,Saha Cistern,Wisp can be found after obtaining the Crush psynergy and solving a Move puzzle.,darkdawn/wisp.png
Pewter,3,1,4,Kolima Forest,Pewter will join automatically.,darkdawn/pewter.png
Teardrop,3,4,4,Kolima Forest,Teardrop can be found behind a waterfall after solving a Crush puzzle.,darkdawn/teardrop.png
Puff,3,3,4,Talon Peak,Puff can be found by jumping down a cliff from the summit discovered by using Crush.,darkdawn/puff.png
Haures,3,5,4,Border Town,Haures can be found after using a Dream Leaf at the inn and climbing over to the Bilibin side of town.,darkdawn/haures.png
Fleet,3,3,4,Belinsk Ruins,Fleet will join with Sveta.,darkdawn/fleet.png
Waft,3,3,4,Belinsk Ruins,Waft will join with Sveta.,darkdawn/waft.png
Bolt,3,3,4,Belinsk Ruins,Bolt will join with Sveta.,darkdawn/bolt.png
Breeze,3,3,4,Belinsk Ruins,Breeze will join with Sveta.,darkdawn/breeze.png
Haze,3,3,4,Belinsk Ruins,Haze will join with Sveta.,darkdawn/haze.png
Chasm,3,1,4,Belinsk Ruins,Chasm can be found after solving a Crush puzzle.,darkdawn/chasm.png
Eclipse,3,5,4,Eclipse Tower,Eclipse can be found after interacting with the object at the top of the tower.,darkdawn/eclipse.png
Pincer,3,4,4,Belinsk,Pincer can be found after solving a Cold Snap puzzle in one of the residences.,darkdawn/pincer.png
Crystallux,3,5,4,Belinsk,Crystallux can be found after fighting off the monsters at the opera house during the Grave Eclipse.,darkdawn/crystallux.png
Reflux,3,2,5,Belinsk,Reflux will join with Eoleo.,darkdawn/reflux.png
Wrath,3,2,5,Belinsk,Wrath will join with Eoleo.,darkdawn/wrath.png
Chili,3,2,5,Belinsk,Chili will join with Eoleo.,darkdawn/chili.png
Glow,3,2,5,Belinsk,Glow will join with Eoleo.,darkdawn/glow.png
Stoke,3,2,5,Belinsk,Stoke will join with Eoleo.,darkdawn/stoke.png
Spring,3,4,5,Harun Village,Spring can be found in a cave near the water after solving a log puzzle.,darkdawn/spring.png
Coatlicue,3,5,5,Harun Channel,"Coatlicue can be found by filling a channel with water, entering the Harun Channel, and going south until finding a cave entrance.",darkdawn/coatlicue.png
Chain,3,1,5,Champion's Hill,Chain can be found in a tree after raising the three watchtowers.,darkdawn/chain.png
Sizzle,3,2,5,World Map (east of Yamata),Sizzle can be found to the east of Yamata City after walking around the mountain.,darkdawn/sizzle.png
Kite,3,3,5,Yamata,Kite can be found after traversing through an underground tunnel hidden underneath a pillar.,darkdawn/kite.png
Buckle,3,1,5,Yamata Palace,Buckle will join with Himi.,darkdawn/buckle.png
Clover,3,1,5,Yamata Palace,Clover will join with Himi.,darkdawn/clover.png
Magnet,3,1,5,Yamata Palace,Magnet will join with Himi.,darkdawn/magnet.png
Geode,3,1,5,Yamata Palace,Geode will join with Himi.,darkdawn/geode.png
Pepper,3,2,5,Yamata Palace,Pepper will join with Himi.,darkdawn/pepper.png
Swift,3,3,5,Yamata Palace,Swift will join with Himi.,darkdawn/swift.png
Shell,3,4,5,Gaia Falls Islet,Shell can be found behind a waterfall after solving a Grip puzzle.,darkdawn/shell.png
Rime,3,4,5,Iceberg Outpost,Rime can be found after sliding off the roof of a house.,darkdawn/rime.png
Geyser,3,4,5,Snowdrift Shrine,Geyser can be found after sliding down a snowy hillside.,darkdawn/geyser.png
Tinder,3,2,5,Tonfon,Tinder can be found after using Slap on a sleeping man and walking on top of the boats.,darkdawn/tinder.png
Foam,3,4,5,World Map (southwest of Tonfon),Foam can be found in a forest shrouded by the Grave Eclipse to the southwest of Tonfon.,darkdawn/foam.png
Flare,3,2,5,Burning Island Cave,Flare can be found by solving a Thermal puzzle.,darkdawn/flare.png
Simoom,3,3,5,World Map (southern islands),Simoom can be found on the largest of the several deserted islands to the south of Angara.,darkdawn/simoom.png
Fugue,3,2,5,Champa Camp,Fugue can be found hanging on a tree fruit.,darkdawn/fugue.png
Lull,3,3,5,Otka Island,Lull can be found after obtaining the Search psynergy and using the whirlwind on the ocean to enter Otka Island.,darkdawn/lull.png
Ivy,3,1,5,Passaj,Ivy can be found after finding the Old Rag and delivering it to the NPC in the inn.,darkdawn/ivy.png
Hemlock,3,1,5,Yamata Ruins,Hemlock can be found after solving a teleportation puzzle.,darkdawn/hemlock.png
Aurora,3,2,5,Apollo Sanctum,Aurora can be found while solving the puzzle in the Venus area.,darkdawn/aurora.png
Azul,3,5,5,Lost Ship,Azul can be found after obtaining the Search psynergy and defeating the Star Magician.,darkdawn/azul.png
Daedalus,3,5,5,Burning Island Cave,Daedalus can be found after obtaining the Sol Blade and defeating the Ogre Titans.,darkdawn/daedalus.png
Catastrophe,3,5,5,Otka Island,Catastrophe can be found after obtaining the Sol Blade and defeating the Ancient Devil.,darkdawn/catastrophe.png
Charon,3,5,5,Crossbone Isle,Charon can be found after finishing the game and reaching the depths of Crossbone Isle.,darkdawn/charon.png
Iris,3,5,5,Crossbone Isle,Iris can be found after finishing the game and defeating Dullahan.,darkdawn/iris.png
